キーワード,janコード,単価
【1】,4902370536485,7000
【2】,4902370540734,7000
【3】,4902370552409,7000
【4】,4549576094113,7000
【5】,4902370548433,7000
【6】,4902370537789,7000
【7】,4938833024404,7000
【8】,4902370552430,7000
【9】,4902370549454,7000
【10】,4902370545319,7000
【11】,4902370543964,7000
【12】,4902370547115,7000
【13】,4902370540437,7000
【14】,4902370550337,7000
【15】,4902370550542,7000
【16】,4902370550559,7000
【17】,4902370550979,7000
【18】,4902370550870,7000
【19】,4902370551150,7000
【20】,4902370551587,7000
【21】,4988602176490,7000
【22】,4902370549263,7000
【23】,4902370553550,7000
【24】,4988602179248,7000
【25】,4902370553611,7000